,职位名称,城市名称,发布时间,薪资范围,经验范围,学历要求,公司名称,公司介绍
77,产品经理/高级产品经理,合肥,16:21,8k-15k,经验1-3年,大专,视尔信息,"['移动互联网,人工智能 / 天使轮 / 50-150人', '人工智能服务', 'TO G', '软硬件解决方案', '“老板nice 公司重点项目 7.5h+双休”']"
78,成本会计,深圳,16:21,8k-10k,经验1-3年,本科,众创三维,"['新零售,营销服务｜咨询 / 未融资 / 150-500人', '贸易｜进出口', '“六险一金，年终奖金，年度调薪，每周三下午茶”']"
79,初级php开发工程师,北京,16:21,12k-19k,经验不限,本科,华图在线,"['在线教育 / D轮及以上 / 150-500人', '在线教育', 'JavaScript', 'HTML', 'MySQL', 'Linux', '“领导nice，团队氛围好，加班可调休，发展空间大”']"
80,软件测试,成都,16:21,8k-15k,经验不限,本科,汇合,"['科技金融 / 不需要融资 / 2000人以上', '自动化测试', '功能测试', '接口测试', '性能测试', '“五天8小时双休，六险一金，年终奖，项目稳定”']"
81,前端开发工程师,天津,16:21,7k-14k,经验1-3年,本科,职引科技,"['软件服务｜咨询,IT技术服务｜咨询,在线教育 / 天使轮 / 15-50人', 'IT技术服务｜咨询', '数据服务｜咨询', 'JavaScript', 'Html5', 'React', '“发展空间大,独立,成长快”']"
82,java开发工程师,北京,16:21,10k-15k,经验1-3年,本科,多点科技,"['内容社区,内容资讯,游戏 / 上市公司 / 50-150人', 'MyBatis', 'Spring', 'Linux', '“成熟业务，平台稳定，团队健全，有快速成长机会”']"
83,自媒体运营,杭州,16:20,10k-15k,经验1-3年,大专,竟虚网络,"['营销服务｜咨询,影视｜动漫,新媒体 / 不需要融资 / 50-150人', 'IT技术服务｜咨询', 'TO C', '“高薪”']"
84,电商带货主播,上海,16:20,7k-14k,经验1-3年,大专,SNH48,"['新媒体 / C轮 / 150-500人', '电商平台', '淘宝主播', '电商主播', '抖音主播', '“五险一金 系统培训 双休”']"
85,实习生应届生4k包住+培训,武汉,16:20,7k-10k,经验在校,应届,恩家房地产经纪,"['金融,房产家居 / 未融资 / 50-150人', '销售顾问', '市场', '营销', '销售代表', '“提供住宿，带薪培训，发展晋升快”']"
86,高级算法项目经理,深圳,16:20,40k-60k,经验5-10年,本科,OPPO,"['智能硬件 / 不需要融资 / 2000人以上', '人工智能服务', 'PMP', '“核心团队 大平台”']"
87,android开发工程师,深圳,16:20,9k-18k,经验1-3年,大专,遍享信息,"['IT技术服务｜咨询 / 未融资 / 150-500人', 'IT技术服务｜咨询', '软件服务｜咨询', 'JAVA', 'Kotlin', 'Flutter', '“薪资待遇好”']"
88,市场营销,广州,16:20,4k-8k,经验不限,不限,广州德佑科技服务有限公司,"['房地产｜建筑｜物业 / 上市公司 / 2000人以上', '房地产｜建筑｜物业', '电商平台', '销售', '“挺高的”']"
89,大客户销售顾问-生活服务,上海,16:20,15k-30k,经验3-5年,大专,字节跳动,"['内容资讯,短视频 / D轮及以上 / 2000人以上', '扁平管理', '弹性工作', '就近租房补贴', '六险一金', '“团队氛围好,晋升空间大,带薪休假”']"
90,后端工程师,北京,16:21,12k-24k,经验1-3年,本科,北京指南针,"['科技金融 / 上市公司 / 500-2000人', '科技金融', 'PHP', 'Python', '“成长空间大+发展前景好”']"
91,图计算开发工程师,武汉,16:21,25k-50k,经验1-3年,本科,青藤云安全,"['信息安全 / C轮 / 500-2000人', '信息安全', 'Spark', '深度学习', '搜索｜推荐', '“五险一金、饭补”']"
92,嵌入式软件开发主管,深圳,16:21,20k-30k,经验5-10年,本科,众创三维,"['新零售,营销服务｜咨询 / 未融资 / 150-500人', '贸易｜进出口', 'C++', 'Linux', 'Android', '单片机开发', '“五险一金、年度奖金、年度调薪”']"
93,高级自动化测试工程师,北京,16:21,20k-40k,经验3-5年,本科,华图在线,"['在线教育 / D轮及以上 / 150-500人', '在线教育', 'JavaScript', 'Android', 'Jmeter', 'IOS测试', '“加班可调休，带薪年假等”']"
94,项目管理,深圳,16:21,10k-17k,经验3-5年,本科,汇合,"['科技金融 / 不需要融资 / 2000人以上', '科技金融', 'PMP', 'Devops', '技术支持', '“双休，加班费”']"
95,ui设计师,天津,16:21,3k-6k,经验在校,应届,职引科技,"['软件服务｜咨询,IT技术服务｜咨询,在线教育 / 天使轮 / 15-50人', '软件服务｜咨询', '数据服务｜咨询', 'Photoshop', 'Illustrator（AI）', 'Sketch', '“发展空间大”']"
96,高级游戏运营,杭州,16:20,15k-20k,经验5-10年,不限,竟虚网络,"['营销服务｜咨询,影视｜动漫,新媒体 / 不需要融资 / 50-150人', 'TO C', '海外用户', '用户运营', '活动运营', '内容运营', '“公司稳定 高薪”']"
97,美妆新媒体运营,上海,16:20,7k-14k,经验1-3年,本科,SNH48,"['新媒体 / C轮 / 150-500人', '电商平台', '文化传媒', '内容运营', '“五险一金 周末双休 部门团建”']"
98,包住销售实习生+带薪培训（可线上面试）,武汉,16:20,7k-10k,经验在校,应届,恩家房地产经纪,"['金融,房产家居 / 未融资 / 50-150人', '市场拓展', '销售代表', '销售顾问', '“带薪培训 包住 发展空间大 晋升快 高薪”']"
99,高级广告算法工程师,深圳,16:20,50k-60k,经验5-10年,本科,OPPO,"['智能硬件 / 不需要融资 / 2000人以上', 'Python', '自然语言处理', 'JAVA', '推荐算法', '“公司平台大 核心团队”']"
100,学习顾问,昆明,16:20,4k-8k,经验不限,本科,爆品科技,"['电商、金融 / 天使轮 / 50-150人', '在线教育', '“高额提成+绩效奖金+带薪培训+高提成”']"
